activeViewCustomMetricId	Active View: Custom Metric ID	long
activeViewCustomMetricName	Active View: Custom Metric Name	string
activity	Activity	string
activityGroup	Activity Group	string
activityGroupId	Activity Group ID	long
activityId	Activity ID	long
ad	Ad	string
adId	Ad ID	long
adStatus	Ad Status	string
adType	Ad Type	string
advertiser	Advertiser	string
advertiserGroup	Advertiser Group	string
advertiserId	Advertiser ID	long
app	App	string
appId	App ID	string
asset	Asset	string
assetCategory	Asset Category	string
assetId	Asset ID	long
assetOrientation	Asset Orientation	string
attributedEventConnectionType	Attributed Event Connection Type	string
attributedEventEnvironment	Attributed Event Environment	string
audienceTargeted	Audience Targeted	string
browserPlatform	Browser/Platform	string
campaign	Campaign	string
campaignEndDate	Campaign End Date	string
campaignExternalId	Campaign External ID	string
campaignId	Campaign ID	long
campaignStartDate	Campaign Start Date	string
city	City	string
clickThroughUrl	Click-through URL	string
companionCreative	Companion Creative	string
companionCreativeId	Companion Creative ID	long
companionCreativeSize	Companion Creative Pixel Size	string
connectionType	Connection Type	string
contentCategory	Content Category	string
country	Country	string
creative	Creative	string
creativeEndDate	Creative End Date	string
creativeField1	Creative Field 1	string
creativeField2	Creative Field 2	string
creativeField3	Creative Field 3	string
creativeField4	Creative Field 4	string
creativeField5	Creative Field 5	string
creativeField6	Creative Field 6	string
creativeField7	Creative Field 7	string
creativeField8	Creative Field 8	string
creativeField9	Creative Field 9	string
creativeField10	Creative Field 10	string
creativeField11	Creative Field 11	string
creativeField12	Creative Field 12	string
creativeGroup1	Creative Groups 1	string
creativeGroup2	Creative Groups 2	string
creativeId	Creative ID	long
creativeSize	Creative Pixel Size	string
creativeStartDate	Creative Start Date	string
creativeType	Creative Type	string
creativeVersion	Creative Version	string
dataSource	Data Source	string
date	Date	string
digitalContentLabel	Digital Content Label	string
dmaRegion	Designated Market Area (DMA)	string
domain	Domain	string
dv360Advertiser	DV360 Advertiser	string
dv360AdvertiserId	DV360 Advertiser ID	long
dv360Campaign	DV360 Campaign	string
dv360CampaignId	DV360 Campaign ID	long
dv360Creative	DV360 Creative	string
dv360CreativeId	DV360 Creative ID	long
dv360InsertionOrder	DV360 Insertion Order	string
dv360InsertionOrderId	DV360 Insertion Order ID	long
dv360LineItem	DV360 Line Item	string
dv360LineItemId	DV360 Line Item ID	long
dv360Partner	DV360 Partner	string
dv360PartnerId	DV360 Partner ID	long
dv360Site	DV360 Site	string
dv360SiteId	DV360 Site ID	long
dynamicElement1Field1Value	Feed 1 - Reporting dimension 1 value	string
dynamicElement1Field2Value	Feed 1 - Reporting dimension 2 value	string
dynamicElement1Field3Value	Feed 1 - Reporting dimension 3 value	string
dynamicElement1Field4Value	Feed 1 - Reporting dimension 4 value	string
dynamicElement1Field5Value	Feed 1 - Reporting dimension 5 value	string
dynamicElement1Field6Value	Feed 1 - Reporting dimension 6 value	string
dynamicElement2Field1Value	Feed 2 - Reporting dimension 1 value	string
dynamicElement2Field2Value	Feed 2 - Reporting dimension 2 value	string
dynamicElement2Field3Value	Feed 2 - Reporting dimension 3 value	string
dynamicElement2Field4Value	Feed 2 - Reporting dimension 4 value	string
dynamicElement2Field5Value	Feed 2 - Reporting dimension 5 value	string
dynamicElement2Field6Value	Feed 2 - Reporting dimension 6 value	string
dynamicElement3Field1Value	Feed 3 - Reporting dimension 1 value	string
dynamicElement3Field2Value	Feed 3 - Reporting dimension 2 value	string
dynamicElement3Field3Value	Feed 3 - Reporting dimension 3 value	string
dynamicElement3Field4Value	Feed 3 - Reporting dimension 4 value	string
dynamicElement3Field5Value	Feed 3 - Reporting dimension 5 value	string
